1,-1,867,171,235,606.8,1
1,-1,392,287,112.7,306.6,1
1,-1,544,257,108.6,345.2,0.999
1,-1,795,332,49,118.3,0.998
1,-1,-35,-27,405.1,1170.2,0.997
1,-1,1374,314,49.1,139.3,0.994
1,-1,1673,659,112.7,36.9,0.992
1,-1,699,337,41.6,128.2,0.991
1,-1,736,325,56.3,133.1,0.99
1,-1,1792,335,40.8,98.5,0.989
1,-1,1663,338,24.7,105.4,0.983
1,-1,1774,604,61.3,96.9,0.97
1,-1,1330,335,33.6,104.2,0.955
1,-1,1634,336,27.6,104.7,0.923
1,-1,1853,318,43,120.1,0.887
1,-1,1730,619,61.5,92.4,0.758
1,-1,1314,333,33.2,108.3,0.735
1,-1,1801,580,78.1,130,0.591
21,-1,847,160,209.5,649.2,1
21,-1,473,278,148.2,398.5,1
21,-1,310,274,146.7,406.1,1
21,-1,675,355,46,131.8,0.999
21,-1,713,347,56.1,138.5,0.999
21,-1,991,260,133.4,414.5,0.999
21,-1,1383,348,46.2,138.3,0.997
21,-1,1822,648,99.4,153.1,0.996
21,-1,1707,722,96.5,60.5,0.994
21,-1,793,348,44.7,120.4,0.994
21,-1,1814,361,35.7,102,0.978
21,-1,1309,357,38,113.4,0.973
21,-1,1647,360,27.9,111.5,0.963
21,-1,1765,703,61.7,81.3,0.925
21,-1,1325,367,42.8,110.1,0.918
21,-1,1660,359,32.5,108.5,0.885
21,-1,1857,352,41.9,114.7,0.848
21,-1,1630,362,31.4,104.9,0.845
21,-1,1287,356,34.2,107.8,0.723
21,-1,1267,347,33.8,109.9,0.417
21,-1,1718,679,107.5,92.6,0.415
41,-1,355,361,161.3,465.3,1
41,-1,1128,331,156.3,454.6,1
41,-1,853,431,54.4,144,1
41,-1,931,274,197,646.3,1
41,-1,583,340,134.8,490.1,1
41,-1,1412,437,40.6,108.8,1
41,-1,1553,422,55.5,125.9,1
41,-1,1685,866,78.5,215.5,0.999
41,-1,805,441,47.4,140.8,0.996
41,-1,1766,839,99.3,229.1,0.996
41,-1,908,435,42.8,117.6,0.995
41,-1,1854,438,28.2,98.2,0.994
41,-1,1826,450,39.1,93.6,0.98
61,-1,1070,429,176.6,436,1
61,-1,841,324,196.2,715.6,1
61,-1,803,500,52.3,155,1
61,-1,455,400,184.6,611.5,1
61,-1,107,414,240.4,665.2,1
61,-1,1339,500,42.8,115.7,0.999
61,-1,742,516,46.7,150.7,0.999
61,-1,1776,494,38.1,100,0.998
61,-1,1516,479,46.7,128.9,0.998
61,-1,1006,440,93.4,299.2,0.997
61,-1,1809,489,33.3,111.4,0.995
61,-1,1363,498,37,117.4,0.431
61,-1,1774,899,96,274.5,0.402
81,-1,1093,356,170.6,455.4,1
81,-1,836,298,212.3,654.9,1
81,-1,797,443,64.1,169.4,1
81,-1,305,246,280.2,933.7,1
81,-1,1556,439,50.9,124.3,0.999
81,-1,1812,460,37.6,94.6,0.999
81,-1,1846,454,33,103.3,0.999
